Precinct,Duncan/Bupp (NPC),Harris/Walz (DEM),Oliver/Maat (LIB),Sonski/Onak (OPC),Candidate Withdrawn,Trump/Vance (REP),Write-in Totals,Write-in: 1. Ayyadurai/Ellis,Write-in: 2. Bowman/Bowman,Write-in: 3. Cheng/Waligorski,Write-in: 4. Dela Cruz/Garcia,Write-in: 5. Fox/McVay,Write-in: 6. Garrity/Ballard,Write-in: 7. Kienitz/Johnson,Write-in: 8. Nalbach/Butts,Write-in: 9. West/Abdullah,Write-in: 10. Not Valid,Write-in: Not Assigned,Total Votes Cast,Overvotes,Undervotes,Contest Total
CV-K,1,418,3,5,12,488,2,0,0,0,0,0,0,0,0,0,2,0,929,0,14,943
CV-L,2,460,6,3,1,544,3,0,0,0,1,0,0,0,0,0,2,0,1019,0,13,1032
CV-M,0,380,3,1,2,461,5,0,0,0,0,0,0,0,0,0,5,0,852,2,9,863
CV-N,0,402,4,1,2,356,2,0,0,0,0,0,0,0,0,0,2,0,767,0,15,782
CV-O,0,511,8,1,13,561,2,0,0,0,0,0,0,0,0,0,2,0,1096,2,8,1106
CV-P,0,464,4,3,6,471,2,0,0,0,0,0,0,0,0,0,2,0,950,0,14,964
CV-Q,0,423,7,1,1,439,3,0,1,0,0,0,0,0,0,0,2,0,874,2,5,881
CV-R,1,419,6,1,4,445,2,0,0,0,0,0,0,0,0,0,2,0,878,0,3,881
DAY 1-A,0,135,1,2,1,74,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,213
DAY 1-B,1,546,2,1,3,175,7,0,0,0,3,0,0,0,0,1,3,0,735,0,4,739
DAY 1-C,0,401,3,1,2,106,1,0,0,0,1,0,0,0,0,0,0,0,514,3,5,522
DAY 1-D,2,239,2,0,2,79,2,0,0,0,1,0,0,0,0,0,1,0,326,2,5,333
DAY 1-E,0,465,5,0,9,152,5,0,0,0,2,0,0,0,0,1,2,0,636,0,5,641
DAY 2-A,3,190,2,1,5,242,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,443
DAY 2-B,1,330,4,9,4,149,7,0,0,0,2,0,0,0,0,2,3,0,504,1,6,511
DAY 2-C,1,285,1,1,1,245,4,0,0,0,0,0,0,0,0,0,4,0,538,0,1,539
DAY 2-D,1,183,1,0,0,199,2,0,0,0,2,0,0,0,0,0,0,0,386,2,2,390
DAY 3-A,0,115,0,0,3,150,3,0,0,0,0,0,0,0,0,0,3,0,271,0,0,271
DAY 3-B,2,177,2,0,2,204,0,0,0,0,0,0,0,0,0,0,0,0,387,0,1,388
DAY 3-C,3,425,4,6,7,444,6,1,0,0,0,0,0,0,0,0,5,0,895,0,6,901
DAY 3-D,2,273,1,2,1,212,6,0,0,0,0,0,0,0,0,0,6,0,497,1,1,499
DAY 3-E,2,122,1,2,1,144,1,0,0,0,0,0,0,0,0,0,1,0,273,3,1,277
DAY 3-F,1,404,4,3,2,308,2,0,0,0,0,0,0,0,0,0,2,0,724,2,3,729
DAY 3-G,0,182,1,3,1,292,2,0,0,0,0,0,0,0,0,0,2,0,481,1,2,484
DAY 3-H,0,200,0,0,6,288,3,0,0,0,1,0,0,0,0,0,2,0,497,2,0,499
DAY 3-I,3,478,2,6,0,349,2,0,0,0,0,0,0,0,0,0,2,0,840,1,5,846
DAY 3-J,4,357,4,2,1,344,2,0,0,0,0,0,0,0,0,0,2,0,714,2,3,719
DAY 3-K,1,477,3,4,5,399,1,0,0,0,0,0,0,0,0,0,1,0,890,1,3,894
DAY 3-L,5,372,3,1,2,425,4,0,0,0,1,0,0,0,0,0,3,0,812,1,6,819
DAY 4-A,1,394,7,2,3,99,1,0,0,0,0,0,0,0,0,0,1,0,507,0,6,513
DAY 4-B,0,299,2,5,5,83,2,0,0,0,0,0,0,0,0,0,2,0,396,0,2,398
DAY 4-C,2,309,1,1,5,107,1,0,0,0,0,0,0,0,0,0,1,0,426,0,3,429
DAY 5-A,2,330,1,1,2,23,2,0,0,0,0,0,0,0,0,0,2,0,361,1,5,367
DAY 5-B,1,325,2,4,2,42,3,0,0,0,0,0,0,0,0,1,2,0,379,0,6,385
DAY 5-C,0,264,3,1,1,45,4,0,0,0,0,0,0,0,0,0,4,0,318,1,2,321
DAY 5-D,0,395,3,0,0,33,5,0,0,0,1,0,0,0,0,0,4,0,436,0,7,443
DAY 6-A,1,407,0,0,0,35,2,0,0,0,0,0,0,0,0,0,2,0,445,0,1,446
DAY 6-B,0,399,1,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,432,1,1,434
DAY 6-C,0,359,2,0,3,21,1,0,0,0,0,0,0,0,0,0,1,0,386,1,1,388
DAY 7-A,1,341,1,1,3,30,0,0,0,0,0,0,0,0,0,0,0,0,377,1,2,380
DAY 7-B,0,264,0,2,0,29,3,0,0,0,0,0,0,0,0,0,3,0,298,0,1,299
DAY 8-A,0,383,3,3,3,299,1,0,0,0,0,0,0,0,0,0,1,0,692,2,10,704
DAY 8-B,1,425,4,4,2,234,1,0,0,0,0,0,0,0,0,0,1,0,671,0,6,677
DAY 8-C,0,418,6,4,5,258,1,0,0,0,0,0,0,0,0,0,1,0,692,0,0,692
DAY 8-D,2,376,7,6,8,272,2,0,0,0,0,0,0,0,0,0,2,0,673,0,3,676
DAY 9-A,3,504,2,5,1,337,1,0,0,0,0,0,0,0,0,0,1,0,853,0,5,858
DAY 9-B,0,438,9,0,3,339,4,0,0,0,1,0,0,0,0,1,2,0,793,1,2,796
DAY 9-C,0,477,5,3,3,371,2,0,0,0,0,0,0,0,0,1,1,0,861,0,5,866
DAY 9-D,0,349,1,1,8,305,0,0,0,0,0,0,0,0,0,0,0,0,664,2,4,670
DAY 10-A,0,313,2,3,2,267,3,0,0,0,1,0,0,0,0,0,2,0,590,1,0,591
DAY 10-B,2,221,1,1,0,275,3,0,0,0,1,0,0,0,0,0,2,0,503,0,1,504
DAY 10-C,1,264,8,2,1,199,4,0,0,0,0,0,0,0,0,0,4,0,479,0,1,480
DAY 10-D,0,290,3,1,7,310,1,0,0,0,0,0,0,0,0,0,1,0,612,0,3,615
DAY 10-E,1,263,1,0,3,259,2,0,0,0,0,0,0,0,0,0,2,0,529,0,4,533
DAY 11-A,0,200,2,3,0,176,0,0,0,0,0,0,0,0,0,0,0,0,381,0,1,382
DAY 11-B,3,190,1,0,4,229,2,0,0,0,1,0,0,0,0,0,1,0,429,0,2,431
DAY 11-C,1,245,2,1,2,175,2,0,0,0,1,0,0,0,0,0,1,0,428,1,4,433
DAY 11-D,0,252,4,3,2,332,0,0,0,0,0,0,0,0,0,0,0,0,593,0,1,594
DAY 11-E,2,204,2,0,0,252,2,0,0,0,2,0,0,0,0,0,0,0,462,1,2,465
DAY 12-A,2,364,4,4,5,307,3,0,0,0,1,0,0,0,0,0,2,0,689,0,2,691
DAY 12-B,0,316,0,0,2,134,0,0,0,0,0,0,0,0,0,0,0,0,452,1,5,458
DAY 12-C,0,276,5,0,5,238,2,0,0,0,0,0,0,0,0,0,2,0,526,0,5,531
DAY 12-D,0,214,1,1,0,180,3,0,0,0,0,0,0,0,0,0,3,0,399,2,4,405
DAY 13-A,1,383,1,3,2,32,1,0,0,0,1,0,0,0,0,0,0,0,423,1,2,426
DAY 13-B,2,239,0,1,2,18,1,0,0,0,0,0,0,0,0,0,1,0,263,1,3,267
DAY 14-A,3,429,2,2,3,58,3,0,0,0,0,0,0,0,0,0,3,0,500,3,11,514
DAY 14-B,2,181,1,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,204,1,0,205
DAY 14-C,1,255,0,0,4,39,0,0,0,0,0,0,0,0,0,0,0,0,299,0,3,302
DAY 14-D,5,506,0,0,1,40,1,0,0,0,0,0,0,0,0,0,1,0,553,0,6,559
DAY 15-A,0,429,1,0,4,36,0,0,0,0,0,0,0,0,0,0,0,0,470,0,3,473
DAY 15-B,1,495,0,2,0,26,1,0,0,0,0,0,0,0,0,1,0,0,525,3,8,536
DAY 15-C,0,349,1,0,2,19,1,0,0,0,0,0,0,0,0,1,0,0,372,2,5,379
DAY 15-D,3,407,0,0,6,27,1,0,0,0,0,0,0,0,0,0,1,0,444,3,1,448
DAY 16-A,3,394,3,1,2,43,5,0,0,0,2,0,0,0,0,0,3,0,451,1,2,454
DAY 16-B,1,309,2,0,4,29,0,0,0,0,0,0,0,0,0,0,0,0,345,0,5,350
DAY 16-C,2,350,2,0,1,35,2,0,0,0,0,0,0,0,0,0,2,0,392,2,5,399
DAY 16-D,0,687,1,2,2,51,2,0,0,0,0,0,0,0,0,0,2,0,745,2,5,752
DAY 16-E,1,405,4,1,1,35,2,0,0,0,0,0,0,0,0,1,1,0,449,1,1,451
DAY 17-A,0,276,3,0,2,63,2,0,0,0,0,0,0,0,0,0,2,0,346,0,1,347
DAY 17-B,0,360,2,0,3,94,2,0,0,0,1,0,0,0,0,0,1,0,461,1,4,466
DAY 17-C,2,419,0,1,1,66,1,0,0,0,0,0,0,0,0,0,1,0,490,3,2,495
DAY 17-D,2,254,2,1,4,45,3,0,0,0,0,0,0,0,0,0,3,0,311,0,2,313
DAY 18-A,2,290,3,1,1,30,3,0,0,0,0,0,0,0,0,1,2,0,330,1,6,337
DAY 18-B,1,467,3,1,3,80,7,0,0,0,2,0,0,0,0,1,4,0,562,0,9,571
DAY 18-C,0,333,0,0,2,73,2,0,0,0,0,0,0,0,0,0,2,0,410,2,3,415
DAY 18-D,2,307,0,0,2,94,1,0,0,0,0,0,0,0,0,0,1,0,406,0,1,407
DAY 19-A,0,184,1,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,201,0,1,202
DAY 19-B,2,442,1,1,4,34,3,0,0,0,0,0,0,0,0,0,3,0,487,3,3,493
DAY 19-C,0,355,2,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,386,0,6,392
DAY 20-A,4,358,3,4,4,427,1,0,0,0,0,0,0,0,0,0,1,0,801,4,8,813
DAY 20-B,2,397,4,0,3,460,5,0,0,0,1,0,0,0,0,1,3,0,871,0,3,874
DAY 20-C,3,228,4,2,0,329,1,0,0,0,0,0,0,0,0,0,1,0,567,1,5,573
DAY 20-D,0,245,4,1,2,362,4,0,0,0,1,0,0,0,0,0,3,0,618,0,2,620
DAY 21-A,0,334,1,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0,369,0,5,374
DAY 21-B,0,333,4,1,1,28,1,0,0,0,0,0,0,0,0,0,1,0,368,1,3,372
DAY 21-C,0,508,2,1,2,47,2,0,0,0,0,0,0,0,0,0,2,0,562,6,5,573
DAY 22-A,3,602,4,2,4,87,4,0,0,0,2,0,0,0,0,0,2,0,706,4,10,720
DAY 22-B,0,486,3,1,0,58,3,0,0,0,0,0,0,0,0,0,3,0,551,1,4,556
DAY 22-C,3,750,5,2,3,39,3,0,0,0,0,0,0,0,0,1,2,0,805,3,4,812
DAY 23-A,0,427,4,0,1,107,6,0,0,0,1,0,0,0,0,2,3,0,545,2,9,556
ENG-A,4,436,5,1,1,378,2,0,0,0,0,0,0,0,0,0,2,0,827,1,5,833
ENG-B,0,320,1,5,3,441,2,0,0,0,1,0,0,0,0,0,1,0,772,0,3,775
ENG-C,1,413,4,0,1,314,1,0,0,0,0,0,0,0,0,0,1,0,734,0,3,737
ENG-D,10,372,3,0,2,488,2,0,0,0,0,0,0,0,0,0,2,0,877,1,7,885
ENG-E,2,475,2,2,0,362,1,0,0,0,0,0,0,0,0,0,1,0,844,1,7,852
ENG-F,1,277,1,0,1,408,5,0,0,0,0,0,0,0,0,0,5,0,693,1,4,698
ENG-G,1,369,3,2,1,433,3,0,0,0,0,0,0,0,0,0,3,0,812,1,4,817
ENG-H,1,293,5,1,2,322,2,0,0,0,0,0,0,0,0,0,2,0,626,0,3,629
ENG-I,1,307,1,2,0,271,1,0,0,0,0,0,0,0,0,0,1,0,583,1,2,586
ENG-J,1,396,2,0,1,310,2,0,0,0,0,0,0,0,0,0,2,0,712,0,3,715
FARM,2,119,2,2,3,425,1,0,0,0,0,0,0,0,0,0,1,0,554,0,3,557
GERTWP-A,0,179,2,0,1,787,3,0,0,0,0,0,0,0,0,0,3,0,972,0,5,977
GERTWP-B,2,190,5,0,0,741,2,0,0,0,0,0,0,0,0,0,2,0,940,3,8,951
GTN-A,0,245,3,2,2,542,2,0,0,0,0,0,0,0,0,0,2,0,796,0,4,800
GTN-B,2,211,3,0,0,528,0,0,0,0,0,0,0,0,0,0,0,0,744,0,3,747
GTN-C,6,201,3,1,0,552,1,0,0,0,0,0,0,0,0,0,1,0,764,0,5,769
GTN-D,3,204,4,2,3,615,0,0,0,0,0,0,0,0,0,0,0,0,831,0,1,832
HARTWP-A,1,130,2,0,2,293,2,0,0,0,0,0,0,0,0,0,2,0,430,1,2,433
HARTWP-B,5,165,1,1,2,360,1,0,0,0,0,0,0,0,0,0,1,0,535,0,5,540
HARTWP-C,0,198,0,0,1,360,1,0,0,0,1,0,0,0,0,0,0,0,560,1,4,565
HARTWP-D,1,525,4,2,2,259,1,0,0,0,0,0,0,0,0,0,1,0,794,1,3,798
HARTWP-E,1,116,2,0,0,218,2,0,0,0,0,0,0,0,0,0,2,0,339,2,2,343
HARTWP-F,0,264,1,0,1,50,2,0,0,0,0,0,0,0,0,0,2,0,318,0,3,321
HARTWP-G,0,413,0,1,0,126,2,0,0,0,0,0,0,0,0,0,2,0,542,0,3,545
HARTWP-H,3,468,3,2,2,92,3,0,0,0,0,0,0,0,0,0,3,0,573,2,7,582
HARTWP-I,1,400,4,1,4,133,1,0,0,0,0,0,0,0,0,0,1,0,544,0,2,546
HARTWP-J,0,446,0,0,1,84,3,0,0,0,0,0,0,0,0,0,3,0,534,0,1,535
HARTWP-K,3,410,5,0,1,102,3,0,0,0,1,0,0,0,0,0,2,0,524,3,4,531
HARTWP-L,1,551,1,1,6,194,3,0,0,0,0,0,0,0,0,1,2,0,757,0,5,762
HARTWP-M,4,739,2,0,2,94,4,0,0,0,0,0,0,0,0,3,1,0,845,1,8,854
HARTWP-N,1,157,4,0,0,337,5,0,0,0,1,0,0,0,0,1,3,0,504,0,1,505
HARTWP-O,1,579,1,4,3,151,0,0,0,0,0,0,0,0,0,0,0,0,739,5,1,745
HUB 1-A,4,309,1,0,1,495,2,0,0,0,0,0,0,0,0,1,1,0,812,1,3,816
HUB 1-B,5,460,2,0,1,492,3,0,0,0,1,0,0,0,0,0,2,0,963,3,5,971
HUB 1-C,0,430,5,0,2,284,8,0,0,0,0,0,0,0,0,2,6,0,729,4,3,736
HUB 1-D,1,376,1,3,3,506,4,0,0,0,2,0,0,0,0,0,2,0,894,0,10,904
HUB 2-A,3,391,3,1,2,422,3,0,0,0,0,0,0,0,0,0,3,0,825,2,5,832
HUB 2-B,3,366,3,3,0,504,2,0,0,0,0,0,0,0,0,1,1,0,881,0,4,885
HUB 3-A,3,265,1,0,1,358,1,0,0,0,0,0,0,0,0,0,1,0,629,0,1,630
HUB 3-B,1,337,2,1,6,227,3,0,0,0,0,0,0,0,0,1,2,0,577,0,3,580
HUB 3-C,1,247,5,0,1,332,1,0,0,0,0,0,0,0,0,0,1,0,587,0,3,590
HUB 3-D,3,326,7,1,1,503,1,0,0,0,0,0,0,0,0,0,1,0,842,2,2,846
HUB 3-E,1,325,1,0,2,312,2,0,0,0,1,0,0,0,0,0,1,0,643,1,6,650
HUB 4-A,2,322,4,0,6,463,3,0,0,0,0,0,0,0,0,0,3,0,800,1,3,804
HUB 4-B,0,290,9,1,2,440,3,0,0,0,0,0,0,0,0,0,3,0,745,1,9,755
HUB 4-C,3,386,2,1,1,431,1,0,0,0,0,0,0,0,0,0,1,0,825,2,10,837
HUB 4-D,3,403,3,3,1,375,4,0,0,0,1,0,0,0,0,1,2,0,792,0,4,796
HUB 5-A,2,310,9,4,1,410,5,0,0,0,2,0,0,0,0,0,3,0,741,1,2,744
HUB 5-B,2,356,6,1,0,377,0,0,0,0,0,0,0,0,0,0,0,0,742,1,3,746
HUB 5-C,0,323,5,4,1,414,1,0,0,0,0,0,0,0,0,0,1,0,748,0,1,749
HUB 5-D,1,333,1,1,9,419,3,0,0,0,0,0,0,0,0,0,3,0,767,2,2,771
HUB 6-A,1,293,1,2,1,336,1,0,0,0,0,0,0,0,0,0,1,0,635,0,3,638
HUB 6-B,1,341,6,4,1,504,4,0,0,0,0,0,0,0,0,0,4,0,861,0,4,865
HUB 6-C,1,358,6,3,3,425,4,0,0,0,0,0,0,0,0,1,3,0,800,0,8,808
HUB 6-D,2,271,2,3,0,476,2,0,0,0,0,0,0,0,0,0,2,0,756,0,5,761
JAKTWP-A,2,173,3,1,6,768,1,0,0,0,1,0,0,0,0,0,0,0,954,0,5,959
JAKTWP-B,0,131,6,0,0,524,1,0,0,0,0,0,0,0,0,0,1,0,662,0,10,672
JEFTWP-A,1,469,1,1,2,457,2,0,0,0,0,0,0,0,0,0,2,0,933,0,6,939
JEFTWP-B,3,341,1,0,1,198,1,0,0,0,0,0,0,0,0,1,0,0,545,0,5,550
JEFTWP-C,3,255,4,0,1,424,2,0,0,0,0,0,0,0,0,0,2,0,689,0,5,694
JEFTWP-D,1,629,3,0,2,37,2,0,0,0,0,0,0,0,0,0,2,0,674,2,7,683
JNLB-A,1,108,3,0,1,362,1,0,0,0,0,0,0,0,0,0,1,0,476,1,2,479
JNLB-B,0,161,2,0,6,571,1,0,0,0,0,0,0,0,0,0,1,0,741,0,6,747
KT 1-A,1,360,5,1,3,283,3,0,0,0,1,0,0,0,0,0,2,0,656,0,1,657
KT 1-B,0,246,2,2,0,400,1,0,0,0,0,0,0,0,0,0,1,0,651,0,1,652
KT 1-C,1,366,5,2,2,493,1,0,0,0,0,0,0,0,0,0,1,0,870,0,4,874
KT 1-D,1,405,4,4,1,422,2,0,0,0,2,0,0,0,0,0,0,0,839,1,3,843
KT 1-E,2,281,1,2,6,386,2,0,0,0,0,0,0,0,0,0,2,0,680,0,2,682
KT 1-F,1,280,4,2,3,375,1,0,0,0,0,0,0,0,0,0,1,0,666,0,1,667
KT 1-G,0,301,2,1,4,398,0,0,0,0,0,0,0,0,0,0,0,0,706,0,3,709
KT 1-H,3,407,4,3,3,483,3,0,0,0,0,0,0,0,0,0,3,0,906,0,6,912
KT 1-I,1,349,5,0,5,410,4,0,0,0,0,0,0,0,0,0,4,0,774,1,8,783
KT 2-A,1,376,2,2,4,373,4,0,0,0,0,0,0,0,0,0,4,0,762,0,4,766
KT 2-B,1,354,5,1,2,363,7,0,0,0,1,0,0,0,0,0,6,0,733,0,6,739
KT 2-C,1,397,5,2,4,381,0,0,0,0,0,0,0,0,0,0,0,0,790,0,3,793
KT 2-D,2,412,9,1,4,441,0,0,0,0,0,0,0,0,0,0,0,0,869,1,3,873
KT 2-E,1,339,4,2,2,450,3,0,0,0,0,0,0,0,0,0,3,0,801,1,7,809
KT 2-F,3,288,5,0,5,357,2,0,0,0,1,0,0,0,0,0,1,0,660,0,4,664
KT 2-G,1,401,5,4,1,613,1,0,0,0,0,0,0,0,0,0,1,0,1026,0,4,1030
KT 2-H,1,399,11,2,7,439,3,0,0,0,0,0,0,0,0,0,3,0,862,0,11,873
KT 2-I,0,301,1,2,4,347,1,0,0,0,0,0,0,0,0,1,0,0,656,0,4,660
KT 2-J,0,278,3,2,0,268,0,0,0,0,0,0,0,0,0,0,0,0,551,0,3,554
KT 3-A,1,412,5,3,6,392,2,0,0,0,0,0,0,0,0,0,2,0,821,1,6,828
KT 3-B,3,460,6,3,2,332,4,0,0,0,1,0,0,0,0,0,3,0,810,0,3,813
KT 3-C,0,338,3,2,2,441,2,0,0,0,0,0,0,0,0,0,2,0,788,0,4,792
KT 3-D,0,441,4,2,4,243,2,0,0,0,0,0,0,0,0,0,2,0,696,1,5,702
KT 3-E,3,405,5,2,2,420,2,0,0,0,0,0,0,0,0,0,2,0,839,0,7,846
KT 3-F,2,341,5,0,3,329,2,0,0,0,0,0,0,0,0,0,2,0,682,0,2,684
KT 3-G,1,305,6,3,5,351,3,0,0,0,0,0,0,0,0,0,3,0,674,0,5,679
KT 3-H,2,388,5,2,3,400,0,0,0,0,0,0,0,0,0,0,0,0,800,2,5,807
KT 3-I,0,314,5,0,3,357,3,0,0,0,0,0,0,0,0,0,3,0,682,0,6,688
KT 3-J,0,333,4,3,3,319,0,0,0,0,0,0,0,0,0,0,0,0,662,0,9,671
KT 3-K,2,466,3,0,5,461,0,0,0,0,0,0,0,0,0,0,0,0,937,1,8,946
KT 4-A,4,530,13,4,5,352,6,0,0,0,0,0,0,0,0,2,4,0,914,0,8,922
KT 4-B,0,594,8,2,4,320,5,0,0,0,2,0,0,0,0,0,3,0,933,0,6,939
KT 4-C,1,250,3,0,2,300,0,0,0,0,0,0,0,0,0,0,0,0,556,1,6,563
KT 4-D,2,421,8,3,3,372,2,0,0,0,0,0,0,0,0,0,2,0,811,1,2,814
KT 4-E,3,370,1,2,6,343,1,0,0,0,0,0,0,0,0,0,1,0,726,0,5,731
KT 4-F,0,425,4,2,0,334,1,0,0,0,0,0,0,0,0,0,1,0,766,0,4,770
KT 4-G,0,487,3,4,1,487,4,0,0,0,0,0,0,0,0,0,4,0,986,0,10,996
KT 4-H,3,300,2,0,4,367,0,0,0,0,0,0,0,0,0,0,0,0,676,0,3,679
KT 4-I,1,489,5,3,1,337,5,0,0,0,0,0,0,0,0,0,5,0,841,0,7,848
KT 4-J,0,462,5,1,4,286,6,0,0,0,1,0,0,0,0,0,5,0,764,0,2,766
KT 4-K,1,404,3,6,5,367,1,0,0,0,0,0,0,0,0,0,1,0,787,0,4,791
MBG 1-A,1,314,9,2,5,557,2,0,0,0,0,0,0,0,0,0,2,0,890,0,10,900
MBG 1-B,0,258,3,0,1,592,2,0,0,0,0,0,0,0,0,0,2,0,856,0,3,859
MBG 1-C,1,299,7,3,0,461,2,0,0,0,0,0,0,0,0,0,2,0,773,0,3,776
MBG 2-A,0,223,4,0,3,378,0,0,0,0,0,0,0,0,0,0,0,0,608,0,2,610
MBG 2-B,0,247,8,2,2,544,2,0,0,0,0,0,0,0,0,0,2,0,805,1,1,807
MBG 2-C,1,265,5,0,6,574,3,0,0,0,0,0,0,0,0,0,3,0,854,0,7,861
MBG 3-A,0,233,2,1,1,355,1,0,0,0,0,0,0,0,0,0,1,0,593,0,3,596
MBG 3-B,2,302,3,1,3,479,2,0,0,0,0,0,0,0,0,0,2,0,792,1,2,795
MBG 3-C,4,300,3,0,3,376,0,0,0,0,0,0,0,0,0,0,0,0,686,1,8,695
MBG 3-D,1,269,2,1,2,561,1,0,0,0,0,0,0,0,0,1,0,0,837,0,6,843
MBG 4-A,6,236,3,0,5,484,2,0,0,0,0,0,0,0,0,0,2,0,736,1,3,740
MBG 4-B,0,213,2,1,4,433,1,0,0,0,0,0,0,0,0,0,1,0,654,0,8,662
MBG 4-C,2,220,6,0,1,364,2,0,0,0,0,0,0,0,0,0,2,0,595,0,2,597
MBG 4-D,1,399,2,1,2,684,3,0,0,0,0,0,0,0,0,0,3,0,1092,0,8,1100
MIATWP-A,2,334,2,0,1,470,2,0,0,0,0,0,0,0,0,0,2,0,811,0,5,816
MIATWP-B,3,318,3,1,10,378,1,0,0,0,0,0,0,0,0,0,1,0,714,1,3,718
MIATWP-C,0,175,2,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,827,3,11,841
MIATWP-D,1,345,0,2,4,355,1,0,0,0,0,0,0,0,0,0,1,0,708,0,1,709
MIATWP-E,1,389,5,4,2,558,4,0,0,0,0,0,0,0,0,0,4,0,963,2,6,971
MIATWP-F,1,365,6,2,7,367,1,0,0,0,0,0,0,0,0,0,1,0,749,0,6,755
MIATWP-G,2,260,7,1,1,404,3,0,0,0,0,0,0,0,0,0,3,0,678,0,2,680
